city_duchy_of_republic_city;Merchant Colony of;;;;;;;;;;;;;x
city_county_of_republic_city;Urban Province of;;;;;;;;;;;;;x
temple_county_of_republic_city;Temple Province of;;;;;;;;;;;;;x
temple_barony_of_republic_city;Temple of;;;;;;;;;;;;;x
temple_count_republic_city;Sage;;;;;;;;;;;;;x


king_eastern_air_nomad;Grand Elder;;;;;;;;;;;;;x
king_female_eastern_air_nomad;Grand Elder;;;;;;;;;;;;;x
city_duke_eastern_air_nomad;Elder;;;;;;;;;;;;;x
duke_eastern_air_nomad;Elder;;;;;;;;;;;;;x
duke_female_eastern_air_nomad;Elder;;;;;;;;;;;;;x
count_eastern_air_nomad;High Monk;;;;;;;;;;;;;x
count_female_eastern_air_nomad;High Nun;;;;;;;;;;;;;x
baron_eastern_air_nomad;Monk;;;;;;;;;;;;;x
baron_female_eastern_air_nomad;Nun;;;;;;;;;;;;;x
temple_baron_eastern_air_nomad;Monk;;;;;;;;;;;;;x
temple_baron_female_eastern_air_nomad;Nun;;;;;;;;;;;;;x
job_chancellor_eastern_air_nomad;Mediator;;;;;;;;;;;;;x
job_marshal_eastern_air_nomad;Trainer;;;;;;;;;;;;;x
job_treasurer_eastern_air_nomad;Book Keeper;;;;;;;;;;;;;x
job_spymaster_eastern_air_nomad;Watcher;;;;;;;;;;;;;x
job_spiritual_eastern_air_nomad;Spiritual Master;;;;;;;;;;;;;x
kingdom_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
duchy_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
county_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
city_duchy_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
city_county_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
city_barony_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_county_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_barony_of_eastern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_count_eastern_air_nomad;Monk;;;;;;;;;;;;;x
temple_count_female_eastern_air_nomad;Nun;;;;;;;;;;;;;x
king_southern_air_nomad;Grand Elder;;;;;;;;;;;;;x
king_female_southern_air_nomad;Grand Elder;;;;;;;;;;;;;x
city_duke_southern_air_nomad;Elder;;;;;;;;;;;;;x
duke_southern_air_nomad;Elder;;;;;;;;;;;;;x
duke_female_southern_air_nomad;Elder;;;;;;;;;;;;;x
count_southern_air_nomad;High Monk;;;;;;;;;;;;;x
count_female_southern_air_nomad;High Nun;;;;;;;;;;;;;x
baron_southern_air_nomad;Monk;;;;;;;;;;;;;x
baron_female_southern_air_nomad;Nun;;;;;;;;;;;;;x
temple_baron_southern_air_nomad;Monk;;;;;;;;;;;;;x
temple_baron_female_southern_air_nomad;Nun;;;;;;;;;;;;;x
job_chancellor_southern_air_nomad;Mediator;;;;;;;;;;;;;x
job_marshal_southern_air_nomad;Trainer;;;;;;;;;;;;;x
job_treasurer_southern_air_nomad;Book Keeper;;;;;;;;;;;;;x
job_spymaster_southern_air_nomad;Watcher;;;;;;;;;;;;;x
job_spiritual_southern_air_nomad;Spiritual Master;;;;;;;;;;;;;x
kingdom_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
duchy_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
county_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
city_duchy_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
city_county_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
city_barony_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_county_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_barony_of_southern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_count_southern_air_nomad;Monk;;;;;;;;;;;;;x
temple_count_female_southern_air_nomad;Nun;;;;;;;;;;;;;x
king_northern_air_nomad;Grand Elder;;;;;;;;;;;;;x
king_female_northern_air_nomad;Grand Elder;;;;;;;;;;;;;x
city_duke_northern_air_nomad;Elder;;;;;;;;;;;;;x
duke_northern_air_nomad;Elder;;;;;;;;;;;;;x
duke_female_northern_air_nomad;Elder;;;;;;;;;;;;;x
count_northern_air_nomad;High Monk;;;;;;;;;;;;;x
count_female_northern_air_nomad;High Nun;;;;;;;;;;;;;x
baron_northern_air_nomad;Monk;;;;;;;;;;;;;x
baron_female_northern_air_nomad;Nun;;;;;;;;;;;;;x
temple_baron_northern_air_nomad;Monk;;;;;;;;;;;;;x
temple_baron_female_northern_air_nomad;Nun;;;;;;;;;;;;;x
job_chancellor_northern_air_nomad;Mediator;;;;;;;;;;;;;x
job_marshal_northern_air_nomad;Trainer;;;;;;;;;;;;;x
job_treasurer_northern_air_nomad;Book Keeper;;;;;;;;;;;;;x
job_spymaster_northern_air_nomad;Watcher;;;;;;;;;;;;;x
job_spiritual_northern_air_nomad;Spiritual Master;;;;;;;;;;;;;x
kingdom_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
duchy_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
county_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
city_duchy_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
city_county_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
city_barony_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_county_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_barony_of_northern_air_nomad;Temple of;;;;;;;;;;;;;x
temple_count_northern_air_nomad;Monk;;;;;;;;;;;;;x
temple_count_female_northern_air_nomad;Nun;;;;;;;;;;;;;x
king_western_air_nomad;Grand Elder;;;;;;;;;;;;;x
king_female_western_air_nomad;Grand Elder;;;;;;;;;;;;;x
city_duke_western_air_nomad;Elder;;;;;;;;;;;;;x
duke_western_air_nomad;Elder;;;;;;;;;;;;;x
duke_female_western_air_nomad;Elder;;;;;;;;;;;;;x
count_western_air_nomad;High Monk;;;;;;;;;;;;;x
count_female_western_air_nomad;High Nun;;;;;;;;;;;;;x
baron_western_air_nomad;Monk;;;;;;;;;;;;;x
baron_female_western_air_nomad;Nun;;;;;;;;;;;;;x
temple_baron_western_air_nomad;Monk;;;;;;;;;;;;;x
temple_baron_female_western_air_nomad;Nun;;;;;;;;;;;;;x
job_chancellor_western_air_nomad;Mediator;;;;;;;;;;;;;x
job_marshal_western_air_nomad;Trainer;;;;;;;;;;;;;x
job_treasurer_western_air_nomad;Book Keeper;;;;;;;;;;;;;x
job_spymaster_western_air_nomad;Watcher;;;;;;;;;;;;;x
job_spiritual_western_air_nomad;Spiritual Master;;;;;;;;;;;;;x
kingdom_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
duchy_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
county_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
city_duchy_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
city_county_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
city_barony_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
temple_county_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
temple_barony_of_western_air_nomad;Temple of;;;;;;;;;;;;;x
temple_count_western_air_nomad;Monk;;;;;;;;;;;;;x
temple_count_female_western_air_nomad;Nun;;;;;;;;;;;;;x
king_water_tribe_cultures;Chief;;;;;;;;;;;;;x
king_female_water_tribe_cultures;Chief;;;;;;;;;;;;;x
city_duke_water_tribe_cultures;Chief;;;;;;;;;;;;;x
duke_water_tribe_cultures;Chief;;;;;;;;;;;;;x
duke_female_water_tribe_cultures;Chief;;;;;;;;;;;;;x
count_water_tribe_cultures;Chief;;;;;;;;;;;;;x
count_female_water_tribe_cultures;Chief;;;;;;;;;;;;;x
baron_water_tribe_cultures;Chief;;;;;;;;;;;;;x
baron_female_water_tribe_cultures;Chief;;;;;;;;;;;;;x
temple_baron_water_tribe_cultures;Shaman;;;;;;;;;;;;;x
temple_baron_female_water_tribe_cultures;Shaman;;;;;;;;;;;;;x
job_chancellor_water_tribe_cultures;Diplomat;;;;;;;;;;;;;x
job_marshal_water_tribe_cultures;Chief Warrior;;;;;;;;;;;;;x
job_treasurer_water_tribe_cultures;Money Keeper;;;;;;;;;;;;;x
job_spymaster_water_tribe_cultures;Infiltrator;;;;;;;;;;;;;x
job_spiritual_water_tribe_cultures;Chief Shaman;;;;;;;;;;;;;x
kingdom_of_water_tribe_cultures;Tribe of;;;;;;;;;;;;;x
duchy_of_water_tribe_cultures;Tribe of;;;;;;;;;;;;;;x
county_of_water_tribe_cultures;Tribe of;;;;;;;;;;;;;x
city_duchy_of_water_tribe_cultures;Tribe of;;;;;;;;;;;;;x
city_county_of_water_tribe_cultures;Tribe of;;;;;;;;;;;;;x
city_barony_of_water_tribe_cultures;City of;;;;;;;;;;;;;x
temple_county_of_water_tribe_cultures;Temple of;;;;;;;;;;;;;x
temple_barony_of_water_tribe_cultures;Temple of;;;;;;;;;;;;;x
temple_count_water_tribe_cultures;Shaman;;;;;;;;;;;;;x
temple_count_female_water_tribe_cultures;Shaman;;;;;;;;;;;;;x
king_pirate;Pirate King;;;;;;;;;;;;;x
king_female_pirate;Pirate Queen;;;;;;;;;;;;;x
city_duke_pirate;Pirate Lord;;;;;;;;;;;;;x
duke_pirate;Pirate Lord;;;;;;;;;;;;;x
duke_female_pirate;Pirate Lord;;;;;;;;;;;;;x
count_pirate;Lord;;;;;;;;;;;;;x
count_female_pirate;Lady;;;;;;;;;;;;;x
baron_pirate;Lord;;;;;;;;;;;;;x
baron_female_pirate;Lady;;;;;;;;;;;;;x
temple_baron_pirate;Sage;;;;;;;;;;;;;x
job_chancellor_pirate;Diplomat;;;;;;;;;;;;;x
job_marshal_pirate;Guard Captain;;;;;;;;;;;;;x
job_treasurer_pirate;Merchant Advisor;;;;;;;;;;;;;x
job_spymaster_pirate;Espionage Expert;;;;;;;;;;;;;x
job_spiritual_pirate;Spiritual Guide;;;;;;;;;;;;;x
kingdom_of_pirate;Pirate Kingdom;;;;;;;;;;;;;x
duchy_of_pirate;Outlaw Province;;;;;;;;;;;;;x
county_of_pirate;Settlement of;;;;;;;;;;;;;x
city_duchy_of_pirate;Pirate Haven;;;;;;;;;;;;;x
city_county_of_pirate;City of;;;;;;;;;;;;;x
temple_county_of_pirate;Temple Settlement of;;;;;;;;;;;;;x
temple_barony_of_pirate;Temple of;;;;;;;;;;;;;x
temple_count_pirate;Sage;;;;;;;;;;;;;x
